Date,Clicks,Impressions,CTR,Position
2026-04-02,0,0,,
2026-04-03,0,5,0%,10.8
2026-04-04,0,49,0%,8.5
2026-04-05,0,43,0%,10.5
2026-04-06,1,77,1.3%,14.9
2026-04-07,4,144,2.78%,16.6
2026-04-08,3,159,1.89%,13.3
2026-04-09,2,239,0.84%,10.8
2026-04-10,0,227,0%,11.2
2026-04-11,1,200,0.5%,13.8
2026-04-12,2,213,0.94%,15.2
2026-04-13,1,169,0.59%,16
2026-04-14,2,220,0.91%,15.6
2026-04-15,4,286,1.4%,15.7
2026-04-16,4,278,1.44%,15.5
