============================================================
Script:  pipeline-revise
Started: 2026-04-12T14:27:35.547Z
============================================================
[14:28:15.291] [SKIP ] never-let-me-go.json (already exists in 2-revised)
[14:28:15.796] [SKIP ] normal-people.json (already exists in 2-revised)
[14:28:16.307] [SKIP ] of-mice-and-men.json (already exists in 2-revised)
[14:28:16.817] [SKIP ] olive-kitteridge.json (already exists in 2-revised)
[14:28:17.327] [SKIP ] on-the-road.json (already exists in 2-revised)
[14:28:17.841] [SKIP ] one-day.json (already exists in 2-revised)
[14:28:18.357] [SKIP ] one-flew-over-the-cuckoos-nest.json (already exists in 2-revised)
[14:28:18.860] [SKIP ] outlander.json (already exists in 2-revised)
[14:28:19.376] [SKIP ] pachinko.json (already exists in 2-revised)
[14:28:19.878] [SKIP ] people-we-meet-on-vacation.json (already exists in 2-revised)
[14:28:20.393] [SKIP ] perks-of-being-a-wallflower.json (already exists in 2-revised)
[14:28:20.895] [SKIP ] pet-sematary-2019.json (already exists in 2-revised)
[14:28:21.411] [SKIP ] presumed-innocent.json (already exists in 2-revised)
[14:28:21.914] [SKIP ] pride-and-prejudice.json (already exists in 2-revised)
[14:28:22.414] [SKIP ] project-hail-mary.json (already exists in 2-revised)
[14:28:22.915] [SKIP ] ready-player-one.json (already exists in 2-revised)
[14:28:23.426] [SKIP ] rebecca.json (already exists in 2-revised)
[14:28:23.933] [SKIP ] remains-of-the-day.json (already exists in 2-revised)
[14:28:24.441] [SKIP ] remarkably-bright-creatures.json (already exists in 2-revised)
[14:28:24.950] [SKIP ] reminders-of-him.json (already exists in 2-revised)
[14:28:25.463] [SKIP ] room.json (already exists in 2-revised)
[14:28:25.965] [SKIP ] roots-2016.json (already exists in 2-revised)
[14:28:26.467] [SKIP ] rosemarys-baby.json (already exists in 2-revised)
[14:28:26.981] [SKIP ] schindlers-list.json (already exists in 2-revised)
[14:28:27.484] [SKIP ] seabiscuit.json (already exists in 2-revised)
[14:28:28.004] [SKIP ] sense-and-sensibility.json (already exists in 2-revised)
[14:28:28.519] [SKIP ] shadow-and-bone.json (already exists in 2-revised)
[14:28:29.021] [SKIP ] sharp-objects.json (already exists in 2-revised)
[14:28:29.525] [SKIP ] shogun-2024.json (already exists in 2-revised)
[14:28:30.038] [SKIP ] silence-of-the-lambs.json (already exists in 2-revised)
[14:28:30.555] [SKIP ] sophies-choice.json (already exists in 2-revised)
[14:28:31.073] [SKIP ] sphere.json (already exists in 2-revised)
[14:28:31.576] [SKIP ] stardust.json (already exists in 2-revised)
[14:28:32.091] [SKIP ] station-eleven.json (already exists in 2-revised)
[14:28:32.591] [SKIP ] talented-mr-ripley.json (already exists in 2-revised)
[14:28:33.092] [SKIP ] the-book-thief.json (already exists in 2-revised)
[14:28:33.607] [SKIP ] the-client.json (already exists in 2-revised)
[14:28:34.108] [SKIP ] the-color-purple.json (already exists in 2-revised)
[14:28:34.611] [SKIP ] the-count-of-monte-cristo.json (already exists in 2-revised)
[14:28:35.128] [SKIP ] the-electric-state.json (already exists in 2-revised)
[14:28:35.643] [SKIP ] the-fault-in-our-stars.json (already exists in 2-revised)
[14:28:36.154] [SKIP ] the-firm.json (already exists in 2-revised)
[14:28:36.661] [SKIP ] the-girl-with-the-dragon-tattoo-fincher.json (already exists in 2-revised)
[14:28:37.175] [SKIP ] the-giver.json (already exists in 2-revised)
[14:28:37.679] [SKIP ] the-glass-castle.json (already exists in 2-revised)
[14:28:38.183] [SKIP ] the-great-gatsby.json (already exists in 2-revised)
[14:28:38.696] [SKIP ] the-handmaids-tale.json (already exists in 2-revised)
[14:28:39.213] [SKIP ] the-haunting-of-hill-house.json (already exists in 2-revised)
[14:28:39.719] [SKIP ] the-help.json (already exists in 2-revised)
[14:28:40.233] [SKIP ] the-hours.json (already exists in 2-revised)
[14:28:40.739] [SKIP ] the-housemaid.json (already exists in 2-revised)
[14:28:41.244] [SKIP ] the-lincoln-lawyer.json (already exists in 2-revised)
[14:28:41.745] [SKIP ] the-longest-ride.json (already exists in 2-revised)
[14:28:42.252] [SKIP ] the-lovely-bones.json (already exists in 2-revised)
[14:28:42.768] [SKIP ] the-martian.json (already exists in 2-revised)
[14:28:43.280] [SKIP ] the-maze-runner.json (already exists in 2-revised)
[14:28:43.781] [SKIP ] the-maze-runner-film.json (already exists in 2-revised)
[14:28:44.287] [SKIP ] the-notebook.json (already exists in 2-revised)
[14:28:44.788] [SKIP ] the-odyssey.json (already exists in 2-revised)
[14:28:45.293] [SKIP ] the-outsider.json (already exists in 2-revised)
[14:28:45.799] [SKIP ] the-outsiders.json (already exists in 2-revised)
[14:28:46.306] [SKIP ] the-pelican-brief.json (already exists in 2-revised)
[14:28:46.813] [SKIP ] the-pianist.json (already exists in 2-revised)
