Time (UTC-04:00),Clicks,Impressions,CTR,Position
2026-04-18T05:00:00,0,10,0%,10
2026-04-18T06:00:00,0,11,0%,10.5
2026-04-18T07:00:00,2,8,25%,6.2
2026-04-18T08:00:00,0,189,0%,9.7
2026-04-18T09:00:00,1,126,0.79%,9.4
2026-04-18T10:00:00,0,15,0%,15.4
2026-04-18T11:00:00,0,17,0%,12.4
2026-04-18T12:00:00,0,9,0%,11.7
2026-04-18T13:00:00,0,18,0%,11.5
2026-04-18T14:00:00,1,16,6.25%,11.8
2026-04-18T15:00:00,1,14,7.14%,18.6
2026-04-18T16:00:00,0,20,0%,17.6
2026-04-18T17:00:00,0,21,0%,8.9
2026-04-18T18:00:00,0,11,0%,9
2026-04-18T19:00:00,0,11,0%,7.7
2026-04-18T20:00:00,1,23,4.35%,19
2026-04-18T21:00:00,1,23,4.35%,12.7
2026-04-18T22:00:00,2,32,6.25%,10.6
2026-04-18T23:00:00,2,24,8.33%,10.3
2026-04-19T00:00:00,1,22,4.55%,11.2
2026-04-19T01:00:00,1,7,14.29%,13.7
2026-04-19T02:00:00,0,3,0%,17.7
2026-04-19T03:00:00,0,2,0%,11
2026-04-19T04:00:00,0,0,0%,0
